task_id,annotation_id,completed_by,relevance_choice,annotation_created_at,company_name,post_date,comment_id,parent_id,comment_text,comment_date,comment_type,reaction_count,before_DEI,has_DEI,root_id,depth,sibling_count,time_since_root,cleaned_text,full_text
11,11,1,0 (Not Relevant),2025-04-20T20:01:52.228641Z,Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzY1NjU5NzI1Njg4NzI3OA==,,Will Delta start paying for its own security and relieve us taxpayers of that cost ?,2025-02-22,initial,0,0,1,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzY1NjU5NzI1Njg4NzI3OA==,0,480,0 days,will delta start paying for its own security and relieve us taxpayers of that cost ?,will delta start paying for its own security and relieve us taxpayers of that cost ?
12,12,1,1 (Relevant),2025-04-20T20:02:01.044554Z,Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzM5ODk2NjQzMjEyNzUwMzE=,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzExNDU3NjY2OTM3NTE0NjU=,"shows what a pos they are, yet during covid the animals busted into a costco and robbed everything",2025-02-01,reply,1,0,1,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzIwOTc3MzM5MzQwMDg5NzE=,2,6,0 days,"shows what a pos they are, yet during covid the animals busted into a costco and robbed everything","i had been thinking about buying a costco membership and was not dissuaded by what i perceive as costco's business decisions related to dei, but when al sharpton showed up all bets were off. also, i learned that costco doesn't have an x account, forcing me to my nonpreferred platform to comment. if you're not willing to meet me on x, you're not serious about my business. → absolute same - except i am a member. i, also, was willing to look past it until they aligned themselves with al sharpton. that guy is a slimeball who has been profiteering off of tragedy my entire life. he is absolutely gross. i won't be renewing. → shows what a pos they are, yet during covid the animals busted into a costco and robbed everything"
13,13,1,1 (Relevant),2025-04-20T20:02:36.264831Z,Costco,2025-01-29 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzEzNTMzNTk3NTkwMTI3MTk=,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzM4NjM5NzA3NDM4NTMxODA=,bleat your ignorance all that you wish; it only makes you look small. NUTS,2025-02-01,reply,0,0,1,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzMwMjk2NzM3NDM4NjMwMzA=,4,0,0 days,bleat your ignorance all that you wish; it only makes you look small. nuts,nuts → it's easy because i'm not a male democrat. male democrats are more difficult to identify because female democrats are so nasty they put men in dresses to parade them around as women. → bleat your ignorance all that you wish; it only makes you look small. nuts
14,14,1,0 (Not Relevant),2025-04-20T20:02:41.276418Z,Costco,2025-02-22 13:00:00,Y29tbWVudDoxMDUwNDM1MDc3MTE0NjU1XzEzODY3NDExNjYwMzM3Nzk=,,Sue Vo,2025-02-23,initial,0,0,1,Y29tbWVudDoxMDUwNDM1MDc3MTE0NjU1XzEzODY3NDExNjYwMzM3Nzk=,0,103,0 days,sue vo,sue vo
15,15,1,0 (Not Relevant),2025-04-20T20:02:52.263149Z,Costco,2025-01-12 09:00:00,Y29tbWVudDoxMDE5ODcyOTc2ODM3NTMyXzU3OTYzODIxODMzMjMwMQ==,,"If it's been processed, it won't t have the natural healing abilities",2025-01-17,initial,0,1,1,Y29tbWVudDoxMDE5ODcyOTc2ODM3NTMyXzU3OTYzODIxODMzMjMwMQ==,0,22,0 days,"if it's been processed, it won't t have the natural healing abilities","if it's been processed, it won't t have the natural healing abilities"
16,16,1,1 (Relevant),2025-04-20T20:02:59.122894Z,Costco,2025-01-27 15:18:00,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzYzNjExOTA4NTYwMzM4OQ==,,If Costco gives into the Republican attorneys general pressure Costco to drop DEI policies I will also cancel my membership after 36 years.,2025-02-01,initial,0,0,1,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzYzNjExOTA4NTYwMzM4OQ==,0,899,0 days,if costco gives into the republican attorneys general pressure costco to drop dei policies i will also cancel my membership after 36 years.,if costco gives into the republican attorneys general pressure costco to drop dei policies i will also cancel my membership after 36 years.
17,17,1,0 (Not Relevant),2025-04-20T20:03:08.913195Z,Google,2025-02-06 07:42:00,Y29tbWVudDoxMTc3NzQ2ODEwMzczNDE4XzU4MzE2NDQ0NDcyNDU1OA==,,"Correct Golf of America…. It has and will always be GULF OF MEXICO 
!!!",2025-02-20,initial,0,0,0,Y29tbWVudDoxMTc3NzQ2ODEwMzczNDE4XzU4MzE2NDQ0NDcyNDU1OA==,0,485,0 days,correct golf of america.... it has and will always be gulf of mexico !!!,correct golf of america.... it has and will always be gulf of mexico !!!
18,18,1,1 (Relevant),2025-04-20T20:03:13.731327Z,Delta,2025-02-18 06:49:00,Y29tbWVudDoxMDI1MDcyNTEyOTc0OTk0XzEwODI2MTc4ODA1NDYyMjg=,,"Hired a woman just because she was a woman, not because she was the best candidate. Joe Biden woke policies now endanger lives. why you think Delta is offering 30k no questions asked? Now you all know. Shameless",2025-02-22,initial,2,0,1,Y29tbWVudDoxMDI1MDcyNTEyOTc0OTk0XzEwODI2MTc4ODA1NDYyMjg=,0,510,0 days,"hired a woman just because she was a woman, not because she was the best candidate. joe biden woke policies now endanger lives. why you think delta is offering 30k no questions asked? now you all know. shameless","hired a woman just because she was a woman, not because she was the best candidate. joe biden woke policies now endanger lives. why you think delta is offering 30k no questions asked? now you all know. shameless"
19,19,1,0 (Not Relevant),2025-04-20T20:03:19.642025Z,Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzkyNDE3MjU0MzEzMjIxMw==,,Shame on you! You caved!,2025-01-31,initial,4,0,0,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzkyNDE3MjU0MzEzMjIxMw==,0,138,0 days,shame on you! you caved!,shame on you! you caved!
20,20,1,0 (Not Relevant),2025-04-20T20:03:35.044373Z,Google,2025-02-24 12:07:00,Y29tbWVudDoxMTkwNjgwNTY1NzQ2NzA5XzE2OTg1OTQ4NzEwMTQ0MjE=,Y29tbWVudDoxMTkwNjgwNTY1NzQ2NzA5XzEzNzU4NTUxMzcxMTQ2MDE=,"The help center barely responds to any recovery appeal, if you find it difficult to recover, follow the name at the top, He is good and reliable or click this link to reach him,you can talk to him regarding any file or account recovery... Im so happy to have my business account back which was one of my biggest problem, send a mail to him",2025-04-10,reply,0,0,0,Y29tbWVudDoxMTkwNjgwNTY1NzQ2NzA5XzEzNzU4NTUxMzcxMTQ2MDE=,1,1,42 days,"the help center barely responds to any recovery appeal, if you find it difficult to recover, follow the name at the top, he is good and reliable or click this link to reach him,you can talk to him regarding any file or account recovery... im so happy to have my business account back which was one of my biggest problem, send a mail to him","how can my google account be hacked bring it back that account is mine → the help center barely responds to any recovery appeal, if you find it difficult to recover, follow the name at the top, he is good and reliable or click this link to reach him,you can talk to him regarding any file or account recovery... im so happy to have my business account back which was one of my biggest problem, send a mail to him"
21,21,1,0 (Not Relevant),2025-04-20T20:03:42.349318Z,Costco,2025-02-07 09:00:00,Y29tbWVudDoxMDM4ODY0NTIxNjA1MDQ0XzEzODE1MjE4MTMyODIyNDU=,Y29tbWVudDoxMDM4ODY0NTIxNjA1MDQ0XzU4ODA0MTcwMDY3MDY5MA==,huh?,2025-02-16,reply,0,0,1,Y29tbWVudDoxMDM4ODY0NTIxNjA1MDQ0XzU4ODA0MTcwMDY3MDY5MA==,1,0,7 days,huh?,im off to costco soon to spend several hundred dollars on their excellent products with excellent prices! → huh?
22,22,1,1 (Relevant),2025-04-20T20:03:48.515760Z,Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYwODk2NTc5ODQwMjE2NQ==,,DEI is a scam!,2025-02-01,initial,4,0,1,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYwODk2NTc5ODQwMjE2NQ==,0,520,0 days,dei is a scam!,dei is a scam!
23,23,1,0 (Not Relevant),2025-04-20T20:03:52.790305Z,Costco,2025-01-12 09:00:00,Y29tbWVudDoxMDE5ODcyOTc2ODM3NTMyXzE5ODg3NzA3OTgyOTkxMzA=,,MGO 30 is not very good,2025-01-24,initial,0,0,1,Y29tbWVudDoxMDE5ODcyOTc2ODM3NTMyXzE5ODg3NzA3OTgyOTkxMzA=,0,22,0 days,mgo 30 is not very good,mgo 30 is not very good
24,24,1,0 (Not Relevant),2025-04-20T20:03:57.608875Z,Costco,2025-01-26 19:20:00,Y29tbWVudDoxMDMwNDA2MTQ5MTE3NTQ4XzYwNjM4NDc3NTg4MzY4NQ==,,Thank you Costco!!,2025-02-01,initial,4,0,1,Y29tbWVudDoxMDMwNDA2MTQ5MTE3NTQ4XzYwNjM4NDc3NTg4MzY4NQ==,0,163,0 days,thank you costco!!,thank you costco!!
25,25,1,1 (Relevant),2025-04-20T20:04:03.514037Z,Costco,2025-01-21 12:00:00,Y29tbWVudDoxMDI2NDgwMjY5NTEwMTM2XzExMzcxNzY2MTE1MjQwODY=,,I have to say I actually LOVE that Costco is being straight up with their DEI policy... I can trim down my spending money there and go to Sam's Club and BJ's Wholesale Club instead!!!,2025-01-31,initial,0,0,1,Y29tbWVudDoxMDI2NDgwMjY5NTEwMTM2XzExMzcxNzY2MTE1MjQwODY=,0,458,0 days,i have to say i actually love that costco is being straight up with their dei policy... i can trim down my spending money there and go to sam's club and bj's wholesale club instead!!!,i have to say i actually love that costco is being straight up with their dei policy... i can trim down my spending money there and go to sam's club and bj's wholesale club instead!!!
26,26,1,0 (Not Relevant),2025-04-20T20:04:09.029510Z,Costco,2025-02-09 09:00:00,Y29tbWVudDoxMDQwMzExMDU0NzkzNzI0XzE3NTkyNTQxMDc5NzY0ODY=,,The combo pizza was the clear winner and you take it off the menu?! Sacrilege,2025-02-16,initial,1,0,1,Y29tbWVudDoxMDQwMzExMDU0NzkzNzI0XzE3NTkyNTQxMDc5NzY0ODY=,0,801,0 days,the combo pizza was the clear winner and you take it off the menu?! sacrilege,the combo pizza was the clear winner and you take it off the menu?! sacrilege
27,27,1,0 (Not Relevant),2025-04-20T20:04:13.888205Z,Costco,2025-02-04 14:13:00,Y29tbWVudDoxMDM2ODY0MDQ1MTM4NDI1Xzk2NjEzMzExMjEzMjQwNQ==,,We need diet Dr Pepper in the uk,2025-02-09,initial,0,0,1,Y29tbWVudDoxMDM2ODY0MDQ1MTM4NDI1Xzk2NjEzMzExMjEzMjQwNQ==,0,204,0 days,we need diet dr pepper in the uk,we need diet dr pepper in the uk
28,28,1,0 (Not Relevant),2025-04-20T20:04:18.186672Z,Google,2025-02-27 12:12:00,Y29tbWVudDoxMTkyODYzNzM4ODYxNzI1XzE2OTk3Nzg2MDM5MzY0OTU=,,Hlw Google!,2025-02-27,initial,2,0,0,Y29tbWVudDoxMTkyODYzNzM4ODYxNzI1XzE2OTk3Nzg2MDM5MzY0OTU=,0,247,0 days,hlw google!,hlw google!
29,29,1,0 (Not Relevant),2025-04-20T20:04:23.050171Z,Delta,2025-02-17 14:08:00,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzExMzk3MDI3MjQzMTMwNjg=,,Glad I wasn't on that flight.,2025-02-22,initial,1,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzExMzk3MDI3MjQzMTMwNjg=,0,540,0 days,glad i wasn't on that flight.,glad i wasn't on that flight.
30,30,1,0 (Not Relevant),2025-04-20T20:04:27.062856Z,Google,2025-01-23 10:38:00,Y29tbWVudDoxMTY4MjcyMzc3OTg3NTI4XzE4NTMzOTAwMjUxOTUxNDI=,,Wha for new,2025-01-23,initial,2,1,0,Y29tbWVudDoxMTY4MjcyMzc3OTg3NTI4XzE4NTMzOTAwMjUxOTUxNDI=,0,189,0 days,wha for new,wha for new
31,31,1,0 (Not Relevant),2025-04-20T20:04:35.112655Z,Costco,2025-01-27 15:18:00,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzkwMjA1OTA0MjEzOTI5Njc=,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzE0MTQ3NTY0MTI2OTE3Nzg=,Me too,2025-02-01,reply,0,0,1,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzE0MTQ3NTY0MTI2OTE3Nzg=,1,44,0 days,me too,i will be doing the majority of my shopping at costco from now on. → me too
32,32,1,0 (Not Relevant),2025-04-20T20:04:43.049524Z,Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzEzMjY1NzQ5MjUxMzI3NDQ=,,What a waste of money. Getting seats right and fl8ghts save is everyones concern. No one gives a damn about your logo. Sack the person who thought this up,2025-03-08,initial,9,0,1,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzEzMjY1NzQ5MjUxMzI3NDQ=,0,163,0 days,what a waste of money. getting seats right and fl8ghts save is everyones concern. no one gives a damn about your logo. sack the person who thought this up,what a waste of money. getting seats right and fl8ghts save is everyones concern. no one gives a damn about your logo. sack the person who thought this up
33,33,1,0 (Not Relevant),2025-04-20T20:04:48.914831Z,Costco,2025-01-27 15:18:00,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzE2NzgzNjE2NTI3OTE4MTI=,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzE0MTQ3NTY0MTI2OTE3Nzg=,same!,2025-02-01,reply,0,0,1,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzE0MTQ3NTY0MTI2OTE3Nzg=,1,44,0 days,same!,i will be doing the majority of my shopping at costco from now on. → same!
34,34,1,0 (Not Relevant),2025-04-20T20:04:57.213545Z,Costco,2025-02-06 09:20:00,Y29tbWVudDoxMDM4MTM3MzE1MDExMDk4XzIwNDE4NzgxNjI5MDY0Njk=,Y29tbWVudDoxMDM4MTM3MzE1MDExMDk4XzE4MDk5NTA3MDMxNzA4ODE=,Canada takes the Costco Visa,2025-02-09,reply,1,0,1,Y29tbWVudDoxMDM4MTM3MzE1MDExMDk4XzE4MDk5NTA3MDMxNzA4ODE=,1,0,0 days,canada takes the costco visa,visa cards not accepted at costco in canada. only mastercard as i found out the hard way when trying to buy multiple items there. → canada takes the costco visa
35,35,1,0 (Not Relevant),2025-04-20T20:05:02.715331Z,Target,2025-02-04 15:08:00,Y29tbWVudDoxMTcyODQzMTI0MjAxMDc3XzI4ODUwODMyNzE2NTg4MTQ=,,Diga não a Target,2025-02-07,initial,1,0,0,Y29tbWVudDoxMTcyODQzMTI0MjAxMDc3XzI4ODUwODMyNzE2NTg4MTQ=,0,155,0 days,diga no a target,diga no a target
36,36,1,0 (Not Relevant),2025-04-20T20:05:11.653413Z,Target,2025-02-10 09:24:00,Y29tbWVudDoxMTc2ODA2MjgwNDcxNDI4Xzk5ODc5MzUxMjE1NzcyOQ==,Y29tbWVudDoxMTc2ODA2MjgwNDcxNDI4XzI4MzQ0NDYzNjg4NTAxOTQw,i wish mine were here!,2025-02-14,reply,1,0,0,Y29tbWVudDoxMTc2ODA2MjgwNDcxNDI4XzI4MzQ0NDYzNjg4NTAxOTQw,1,0,0 days,i wish mine were here!,my targets are all still packed. not sure where everyone else target stores are... but at my locations people are still in full effect → i wish mine were here!
37,37,1,0 (Not Relevant),2025-04-20T20:05:17.681323Z,Google,2025-02-24 12:07:00,Y29tbWVudDoxMTkwNjgwNTY1NzQ2NzA5XzY1NzQxMzAzMDMwMTA1NA==,Y29tbWVudDoxMTkwNjgwNTY1NzQ2NzA5XzQzNjYxODE5Mjc5NDc3OA==,To nie używaj i już.,2025-02-27,reply,2,0,0,Y29tbWVudDoxMTkwNjgwNTY1NzQ2NzA5XzQzNjYxODE5Mjc5NDc3OA==,1,2,0 days,to nie uywaj i ju.,"can we remove gemini? i don't want it, and have not found use for it. → to nie uywaj i ju."
38,38,1,1 (Relevant),2025-04-20T20:05:22.703252Z,Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzExNTczNTkxNTU3NDkyMjA=,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzU5NjAxMTYyNjU0MTMxNw==,I really hope you’re joking,2025-02-01,reply,1,0,1,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzU5NjAxMTYyNjU0MTMxNw==,1,5,0 days,i really hope youre joking,knowing that when dei is stopped at costco and throughout our land...our children can rest in peace → i really hope youre joking
39,39,1,0 (Not Relevant),2025-04-20T20:05:27.772287Z,Costco,2025-02-11 14:38:00,Y29tbWVudDoxMDQxOTQ2MTUxMjk2ODgxXzkzOTMxNzk0NDk4NTIwNA==,,I can assure you.. we dont want this.,2025-02-16,initial,1,0,1,Y29tbWVudDoxMDQxOTQ2MTUxMjk2ODgxXzkzOTMxNzk0NDk4NTIwNA==,0,130,0 days,i can assure you.. we dont want this.,i can assure you.. we dont want this.
40,40,1,0 (Not Relevant),2025-04-20T20:05:31.536517Z,Costco,2025-02-17 15:16:00,Y29tbWVudDoxMDQ2NTU4MDQ3NTAyMzU4XzEyOTc4MjEyNDgxMDY3ODQ=,,Panera Mexican Corn Chowder,2025-02-23,initial,0,0,1,Y29tbWVudDoxMDQ2NTU4MDQ3NTAyMzU4XzEyOTc4MjEyNDgxMDY3ODQ=,0,168,0 days,panera mexican corn chowder,panera mexican corn chowder
41,41,1,0 (Not Relevant),2025-04-20T20:05:38.047077Z,Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzE4NjEyMTUxMTEzNTI2MzA=,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzEwODY5NjI3MTAxMjk4MDg=,"same here Costco is the best thank you, Jesus",2025-02-23,reply,1,0,1,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzEwODY5NjI3MTAxMjk4MDg=,1,0,0 days,"same here costco is the best thank you, jesus","we love you, costco! keep up the great work! → same here costco is the best thank you, jesus"
42,42,1,0 (Not Relevant),2025-04-20T20:05:46.264861Z,Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzk2NDA3Njg5OTAxNDQzMQ==,,"Nice, if flying first class. Pity those if us who fly coach",2025-02-15,initial,13,0,1,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzk2NDA3Njg5OTAxNDQzMQ==,0,480,0 days,"nice, if flying first class. pity those if us who fly coach","nice, if flying first class. pity those if us who fly coach"
43,43,1,1 (Relevant),2025-04-20T20:06:08.852474Z,Target,2025-02-02 11:06:00,Y29tbWVudDoxMTcxMzM2NDkxMDE4NDA3XzYwOTc2MDQwMTY0NzI0NA==,,"Wait, what?? Naw... you showed me who you are.. I'm looking forward to hosting yall bankruptcy party",2025-02-07,initial,1,0,0,Y29tbWVudDoxMTcxMzM2NDkxMDE4NDA3XzYwOTc2MDQwMTY0NzI0NA==,0,719,0 days,"wait, what?? naw... you showed me who you are.. i'm looking forward to hosting yall bankruptcy party","wait, what?? naw... you showed me who you are.. i'm looking forward to hosting yall bankruptcy party"
44,44,1,1 (Relevant),2025-04-20T20:06:16.144902Z,Costco,2025-02-11 09:00:00,Y29tbWVudDoxMDQxNzYyOTI3OTgxODcwXzQ5NDM4OTY2MzcxMTE2Mg==,Y29tbWVudDoxMDQxNzYyOTI3OTgxODcwXzE3MDY4NTg2Njk4NTk5MjA=,"Sams Club is just as good , if not better. And no DEI!",2025-02-16,reply,10,0,1,Y29tbWVudDoxMDQxNzYyOTI3OTgxODcwXzE3MDY4NTg2Njk4NTk5MjA=,1,0,0 days,"sams club is just as good , if not better. and no dei!","love costco → sams club is just as good , if not better. and no dei!"
45,45,1,0 (Not Relevant),2025-04-20T20:06:25.917617Z,Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzk4MDUxMjYyMzU5NjUyOQ==,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzEwMTUxNzQ2NDA2NTM1OTU=,Anthony- We appreciate the feedback. We'll be sure to inform our buyers that you'd like to see larger sizes in the Kirkland Signature™ Pet Hoodies. Thanks for posting! -Bekah,2025-02-23,reply,0,0,1,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzEwMTUxNzQ2NDA2NTM1OTU=,1,0,7 days,anthony- we appreciate the feedback. we'll be sure to inform our buyers that you'd like to see larger sizes in the kirkland signaturetm pet hoodies. thanks for posting! -bekah,"can you make then for big dogs, our great dane is about 6ft tall when he stands on his back legs and weighs about 135lbs. so something bigger please → anthony- we appreciate the feedback. we'll be sure to inform our buyers that you'd like to see larger sizes in the kirkland signaturetm pet hoodies. thanks for posting! -bekah"
