task_id,company_name,post_date,comment_id,parent_id,comment_text,comment_date,comment_type,reaction_count,before_DEI,has_DEI,root_id,depth,sibling_count,time_since_root,cleaned_text,full_text,reviewer_01,reviewer_02,relevance_average,relevance_label
67,Costco,1/11/2025 9:00,Y29tbWVudDoxMDE5MTY2NTQwMjQxNTA5XzEwMjM5MDA0NTk3NTMyMDM=,Y29tbWVudDoxMDE5MTY2NTQwMjQxNTA5XzY0NjA1MTIzNDQxNzMyNA==,Shareholders will speak loudly come Jan. 23rd,1/17/2025,reply,0,1,1,Y29tbWVudDoxMDE5MTY2NTQwMjQxNTA5XzEzMDA2Mjg3MjExNDA0MTg=,5,0,0 days,shareholders will speak loudly come jan. 23rd,"many of those calling for a boycott are either losers who dont have anything better to do than post complaints, or bots. → many are actually shareholders → shareholders will speak loudly come jan. 23rd",1,1,1,1
484,Costco,1/11/2025 9:00,Y29tbWVudDoxMDE5MTY2NTQwMjQxNTA5XzQwMjU0ODE0NTQzNTU3MTg=,Y29tbWVudDoxMDE5MTY2NTQwMjQxNTA5XzE2OTAzMDQ2MzE1NDg5MDU=,different Costco stores have different prices. I can go to 3 near us and the prices differ.,1/17/2025,reply,1,1,1,Y29tbWVudDoxMDE5MTY2NTQwMjQxNTA5XzE2OTAzMDQ2MzE1NDg5MDU=,1,1,0 days,different costco stores have different prices. i can go to 3 near us and the prices differ.,prices would be nice → different costco stores have different prices. i can go to 3 near us and the prices differ.,0,0,0,0
234,Costco,1/11/2025 9:00,Y29tbWVudDoxMDE5MTY2NTQwMjQxNTA5Xzk4NzEzNzc0MDYyMDkwNDI=,Y29tbWVudDoxMDE5MTY2NTQwMjQxNTA5XzE2NTM0MDE0Njg1NzY3NzU=,I’m ok paying a little more for something that’s been around for like 30 years instead of completely changing it,1/17/2025,reply,1,1,1,Y29tbWVudDoxMDE5MTY2NTQwMjQxNTA5XzExODYwNDkxMzk1NDg1NzU=,2,0,0 days,im ok paying a little more for something thats been around for like 30 years instead of completely changing it,please bring back the old muffins! my picky eater loved them and they were easy to buy for traveling for us and now theyre gone! → tell the manufacturers to drop their ingredients prices → im ok paying a little more for something thats been around for like 30 years instead of completely changing it,0,0,0,0
23,Costco,1/12/2025 9:00,Y29tbWVudDoxMDE5ODcyOTc2ODM3NTMyXzE5ODg3NzA3OTgyOTkxMzA=,,MGO 30 is not very good,1/24/2025,initial,0,0,1,Y29tbWVudDoxMDE5ODcyOTc2ODM3NTMyXzE5ODg3NzA3OTgyOTkxMzA=,0,22,0 days,mgo 30 is not very good,mgo 30 is not very good,0,0,0,0
15,Costco,1/12/2025 9:00,Y29tbWVudDoxMDE5ODcyOTc2ODM3NTMyXzU3OTYzODIxODMzMjMwMQ==,,"If it's been processed, it won't t have the natural healing abilities",1/17/2025,initial,0,1,1,Y29tbWVudDoxMDE5ODcyOTc2ODM3NTMyXzU3OTYzODIxODMzMjMwMQ==,0,22,0 days,"if it's been processed, it won't t have the natural healing abilities","if it's been processed, it won't t have the natural healing abilities",0,0,0,0
81,Costco,1/18/2025 9:00,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzY2NDYwMDUzMjU1OTM0Mg==,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzIxNDQ5MDk5MTU5MjUxODI=,"That isn't what DEI does. Stop listening to Faux ""news"".",1/31/2025,reply,2,0,1,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzIxNDQ5MDk5MTU5MjUxODI=,1,0,0 days,"that isn't what dei does. stop listening to faux ""news"".","""i have a dream that someday all men will be judged by the content of their character, not the color of their skin"" ~martin luther king~ he was right. you're not. → that isn't what dei does. stop listening to faux ""news"".",1,1,1,1
198,Costco,1/18/2025 9:00,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzYyOTAwMDYxNjMyMjU3Nw==,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzEzMDE2MzM5NTc3Mzk5MjE=,Betty- Please contact Costco.com for all inquiries regarding online products and shipping information. Their contact information can be found here: https://customerservice.costco.com/.../answer_view/a_id/8162 They would be happy to help! -Max,1/24/2025,reply,0,0,1,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzEzMDE2MzM5NTc3Mzk5MjE=,1,2,0 days,betty- please contact costco.com for all inquiries regarding online products and shipping information. their contact information can be found here: <url> they would be happy to help! -max,when do i get my freezer → betty- please contact costco.com for all inquiries regarding online products and shipping information. their contact information can be found here: <url> they would be happy to help! -max,0,0,0,0
317,Costco,1/18/2025 12:00,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzE1NjIwMTM3OTExMjAzODQ=,,Thanks,1/24/2025,initial,0,0,1,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzE1NjIwMTM3OTExMjAzODQ=,0,216,0 days,thanks,thanks,0,0,0,0
166,Costco,1/18/2025 12:00,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzEwNDMwODc3NTc2NjYxNjQ=,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzEyODIzNjk5MTI5NzAxMjA=,"Imelda, noted, thanks for sharing your interest!",1/24/2025,reply,0,0,1,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzEyODIzNjk5MTI5NzAxMjA=,1,0,0 days,"imelda, noted, thanks for sharing your interest!","hey costco! could you bring more product like asian foods? → imelda, noted, thanks for sharing your interest!",0,0,0,0
167,Costco,1/18/2025 12:00,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzQwNzg2NDI3NzIzNjYwNzc=,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzk3MDAxNzMwMTcxODMyNA==,disgusting and tilapia is the worst!,1/24/2025,reply,4,0,1,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzU4MDE2MzU4NDgyNjEzMQ==,3,0,0 days,disgusting and tilapia is the worst!,"john bartush its easy... farm raised fish and shrimp are raised in cesspools. → correct! there is absolutely no regulation on what the farm raised seafood is fed. a lot of it gets fed other animal feces (pig feces, for example). → disgusting and tilapia is the worst!",0,0,0,0
84,Costco,1/18/2025 12:00,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzkxNzUwOTQ1NjgzODE1Ng==,,Not putting any more $$s in at Costco and don't bother with St. George UT new store We don't support any company that doesn't support the will of the people. DO AWAY WITH DEI,1/31/2025,initial,0,0,1,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzkxNzUwOTQ1NjgzODE1Ng==,0,216,0 days,not putting any more $$s in at costco and don't bother with st. george ut new store we don't support any company that doesn't support the will of the people. do away with dei,not putting any more $$s in at costco and don't bother with st. george ut new store we don't support any company that doesn't support the will of the people. do away with dei,1,1,1,1
473,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE0MDAyMTYwOTExMzM3Mzg=,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzExNTM0NTMyMzI4NTE1ODE=,still way safer than driving.,2/22/2025,reply,4,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzExNTM0NTMyMzI4NTE1ODE=,1,0,0 days,still way safer than driving.,"the airplane insanity has risen all over the world. when will it stop? difficult to even want to board an aircraft these days. and, its supposed to be safer than driving? at least youre on ground level when driving! goodness gracious! → still way safer than driving.",0,0,0,0
99,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE2MTE0MjU2NTYxNzM1MjQ=,,Blake Elliot,2/22/2025,initial,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE2MTE0MjU2NTYxNzM1MjQ=,0,540,0 days,blake elliot,blake elliot,0,0,0,0
157,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE2MjU5NjY3NDgyOTE2ODg=,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzYyMjQ5NDY4MDM3MTgwMQ==,How is this positive.,2/22/2025,reply,2,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzYyMjQ5NDY4MDM3MTgwMQ==,1,0,0 days,how is this positive.,thank you for standing by your dei policies → how is this positive.,1,1,1,1
446,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE2ODI3NTEwNzg5NDY4ODQ=,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzEzMTY5ODY2OTYwMDkzNjU=,I’m sure the 80 people on the flight that flipped today had nothing but good service from Delta airlines. Asked them tomorrow how they feel about Delta Air Lines. Delta Airlines is good until their bad service affects you.,2/22/2025,reply,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzUwNjgzNTI0ODc5NjI5MA==,2,4,0 days,im sure the 80 people on the flight that flipped today had nothing but good service from delta airlines. asked them tomorrow how they feel about delta air lines. delta airlines is good until their bad service affects you.,delta air lines is the company for you if you want bad service. they make excuses for their bad service. they have bad customer service after you become a customer. supervisor will hang up on you when you complain about their service. they give more respect to their bad employees than the customers who are paying them. customer service believes that delta air lines has so many customers that it doesnt matter if they run a few off. → i have never had anything but good service from delta. → im sure the 80 people on the flight that flipped today had nothing but good service from delta airlines. asked them tomorrow how they feel about delta air lines. delta airlines is good until their bad service affects you.,0,0,0,0
417,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE2ODQzNTE1ODI0Njg3NDA=,,Canadian news said 3 have critical but not life threatening injures. One is a pediatric patient.,2/22/2025,initial,5,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE2ODQzNTE1ODI0Njg3NDA=,0,540,0 days,canadian news said 3 have critical but not life threatening injures. one is a pediatric patient.,canadian news said 3 have critical but not life threatening injures. one is a pediatric patient.,0,0,0,0
305,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE2ODkyODc3OTg2ODQ4NDY=,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzExMjkzMTQ0OTIwNzQ4NDQ=,should I cancel my flight to Florida Saturday??,2/22/2025,reply,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzExMjkzMTQ0OTIwNzQ4NDQ=,1,0,0 days,should i cancel my flight to florida saturday??,what would you expect to happen with all the recent faa job cuts? such an avoidable tragedy. doge is responsible. → should i cancel my flight to florida saturday??,0,0,0,0
5,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE3MTc4ODI0NzI0MDIxMjU=,,Mike Ryan,2/22/2025,initial,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE3MTc4ODI0NzI0MDIxMjU=,0,540,0 days,mike ryan,mike ryan,0,0,0,0
141,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE3MzE2MTg4NDQwNjU2NzY=,,Are you sure it’s not your DEI policies? Delta Air Lines,2/22/2025,initial,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE3MzE2MTg4NDQwNjU2NzY=,0,540,0 days,are you sure its not your dei policies? delta air lines,are you sure its not your dei policies? delta air lines,1,1,1,1
73,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE4MTQ5NzUxNjkzMzUzNzA=,,If you’re DEI and you know it the way you land will surely show it. If you’re DEI and you know it crash the plane…,2/22/2025,initial,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE4MTQ5NzUxNjkzMzUzNzA=,0,540,0 days,if youre dei and you know it the way you land will surely show it. if youre dei and you know it crash the plane...,if youre dei and you know it the way you land will surely show it. if youre dei and you know it crash the plane...,1,1,1,1
171,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE4NzMwNTk3NTY4Mjk4ODA=,,Thank the Lord,2/22/2025,initial,2,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE4NzMwNTk3NTY4Mjk4ODA=,0,540,0 days,thank the lord,thank the lord,0,0,0,0
29,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzExMzk3MDI3MjQzMTMwNjg=,,Glad I wasn't on that flight.,2/22/2025,initial,1,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzExMzk3MDI3MjQzMTMwNjg=,0,540,0 days,glad i wasn't on that flight.,glad i wasn't on that flight.,0,0,0,0
229,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzExNDc5ODg3NjY3MDUzMjA=,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzEwNTczNzAxMTk0ODQ3ODI=,such lies,2/22/2025,reply,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE4MTgzNzg0NDU1OTQ3Mjc=,2,0,0 days,such lies,*not my video* reposted → delta air lines is the company for you if you want bad service. they make excuses for their bad service. they have bad customer service after you become a customer. supervisor will hang up on you when you complain about their service. they give more respect to their bad employees than the customers who are paying them. customer service believes that delta air lines has so many customers that it doesnt matter if they run a few off. → such lies,0,0,0,0
114,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzExNTc2NDE5NzkxMzQ3NzI=,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzQxMDY4NjE0Mjk2MDMxMjU=,upside down.,2/22/2025,reply,3,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzEwOTcwMjM3MjU1MTQ2MTU=,2,0,0 days,upside down.,havent heard of this kind of accident before. glad the people are safe . im sure the crew sprang into action to evacuate and were trained well im sure . → what type of accident was it? → upside down.,0,0,0,0
7,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzEyODU2OTAxMDI2ODM0MTg=,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzQ4ODc2NTAxMDc1MDQ1Mg==,nope not at all.,2/22/2025,reply,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzgwOTQ5ODYzODA0Mjc0Nw==,2,0,0 days,nope not at all.,"airlines love to mention who is operating the flight when something goes wrong as if the public will say ""oh, it's not the airline whose name is on the plane, it was somebody else."" → this is the first thing you thought of?? shame on you. → nope not at all.",0,0,0,0
352,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzI1ODc4NTM5NzgwNzA5NDE=,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzYwMTUzMjEzOTQzMTc2OA==,"Surviving to the hospital is a good sign though. Critical condition means a lot of different things also, but still",2/22/2025,reply,1,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzYwOTYxODEwMTg3MTkyNQ==,2,0,0 days,"surviving to the hospital is a good sign though. critical condition means a lot of different things also, but still","glad to hear no fatalities. kudos to all crew, toronto staff, etc. hoping the various local hospitals were able to absorb the evaluations of the passengers without too much difficulty → yet. a few in critical condition → surviving to the hospital is a good sign though. critical condition means a lot of different things also, but still",0,0,0,0
282,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzM3ODg2Njg1MzEyNzk2MTM=,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzgwNDU4NzM4ODUzNDg4MQ==,DEI Pilots? Please release names and pictures.,2/22/2025,reply,1,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzgwNDU4NzM4ODUzNDg4MQ==,1,6,0 days,dei pilots? please release names and pictures.,"delta has activated its passenger inquiry center for family and loved ones of customers involved in todays accident so they can connect with delta for more information. in canada, these individuals may reach out via 1-866-629-4775. in the united states, they may connect using 1-800-997-5454. → dei pilots? please release names and pictures.",0,0,0,0
56,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzUzMDQzMDg3OTUwMTQ0Mw==,,"Why don’t the negative ppl wait to see what really happened? Have compassion for the ppl on board 
 It’s not about you!",2/22/2025,initial,12,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzUzMDQzMDg3OTUwMTQ0Mw==,0,540,0 days,why dont the negative ppl wait to see what really happened? have compassion for the ppl on board its not about you!,why dont the negative ppl wait to see what really happened? have compassion for the ppl on board its not about you!,0,1,0.5,0
378,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzY1Mzk4NjM3MzgyNDIzNg==,,Those flight attendants should get a raise they didn't leave the plane till everybody was out it could have been the first people out,2/22/2025,initial,3,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzY1Mzk4NjM3MzgyNDIzNg==,0,540,0 days,those flight attendants should get a raise they didn't leave the plane till everybody was out it could have been the first people out,those flight attendants should get a raise they didn't leave the plane till everybody was out it could have been the first people out,0,0,0,0
233,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzYzNzk1NjM3ODcxMDUxNw==,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzkyNDM4MTMyNjE5NTQwMA==,work on that math and thanks for checking in.,2/22/2025,reply,1,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzkyNDM4MTMyNjE5NTQwMA==,1,0,0 days,work on that math and thanks for checking in.,"we love delta and believe 100% that everything that can be done, will be. god bless you all. → work on that math and thanks for checking in.",0,0,0,0
9,Delta,2/17/2025 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5Xzk1NzA4Mzg0MjgxNDk3Nw==,,Much of Bastian’s compensation was a one-off payment for his lengthy service towards the airline and an incentivized bonus for guiding the airline smoothly through the COVID pandemic.,2/22/2025,initial,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5Xzk1NzA4Mzg0MjgxNDk3Nw==,0,540,0 days,much of bastians compensation was a one-off payment for his lengthy service towards the airline and an incentivized bonus for guiding the airline smoothly through the covid pandemic.,much of bastians compensation was a one-off payment for his lengthy service towards the airline and an incentivized bonus for guiding the airline smoothly through the covid pandemic.,0,0,0,0
423,Costco,1/19/2025 9:00,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzE3NDM0MjI2OTk3NzgzMDc=,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzI0ODI5NzAwMjIwNDY0NTE=,"Your statement ""hiring people that aren't good employees only quota employees."" shows you don't understand the DEI concept.",1/31/2025,reply,1,0,1,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzI0ODI5NzAwMjIwNDY0NTE=,1,24,7 days,"your statement ""hiring people that aren't good employees only quota employees."" shows you don't understand the dei concept.","lol. what were costco hiring before? qualified people? by saying they will continue dei they are saying they are hiring people that aren't good employees only quota employees. weird. i'm going to try sam's club. i've been a member of costco since about 1986. let's see what sam's club has. → your statement ""hiring people that aren't good employees only quota employees."" shows you don't understand the dei concept.",1,1,1,1
386,Costco,1/19/2025 9:00,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzMwODE3Njg3NTUyOTQ3ODU=,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzExMDQ0NjE3NzgwOTM5MzA=,stop buying them then,1/24/2025,reply,1,0,1,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzExMDQ0NjE3NzgwOTM5MzA=,1,4,0 days,stop buying them then,"your oral-b toothbrushes are crap. i returned the first pair to you because both stopped charging within a couple months after purchase. now the replacement set from oral-b has a toothbrush that wont charge and i havent had them that long. i will not be returning the second set to you. im here to say, stop carrying their defective toothbrushes! → stop buying them then",0,0,0,0
412,Costco,1/19/2025 9:00,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzU0NTc5NjIyMTgyNDc4NQ==,,Glad to support a company that values diversity as a member and shareholder,1/31/2025,initial,0,0,1,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzU0NTc5NjIyMTgyNDc4NQ==,0,70,0 days,glad to support a company that values diversity as a member and shareholder,glad to support a company that values diversity as a member and shareholder,1,1,1,1
104,Costco,1/19/2025 9:00,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzkyODgwMzE4NTY4NzYyMw==,,"I am not in agreement with DEI at all but I will say the way the Costco is managed in Edmond, Oklahoma (excellent workers! )",1/31/2025,initial,0,0,1,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzkyODgwMzE4NTY4NzYyMw==,0,70,0 days,"i am not in agreement with dei at all but i will say the way the costco is managed in edmond, oklahoma (excellent workers! )","i am not in agreement with dei at all but i will say the way the costco is managed in edmond, oklahoma (excellent workers! )",1,1,1,1
174,Delta,2/18/2025 6:49,Y29tbWVudDoxMDI1MDcyNTEyOTc0OTk0XzE2ODM1Njc0MzU5MDkwMDI=,Y29tbWVudDoxMDI1MDcyNTEyOTc0OTk0Xzk4MDA0MzIzNjk1OTUyMg==,agree that it looked like a hard landing and perhaps the left landing gear collapsed ( left as looking at the plane from straight on). Wind is definitely a factor. So glad everyone got out!,2/22/2025,reply,0,0,1,Y29tbWVudDoxMDI1MDcyNTEyOTc0OTk0XzEzNTU2ODUwODU0NTc3Njg=,3,2,0 days,agree that it looked like a hard landing and perhaps the left landing gear collapsed ( left as looking at the plane from straight on). wind is definitely a factor. so glad everyone got out!,"never mind i just seen the other video. that was definitely a freak accident. looks like the touched down and wind lifted one side causing wing to hit ground and plane to roll. → only speculation based on information, but seems like a hard landing (for unknown reason) that caused the gear to break due to the hard landing. → agree that it looked like a hard landing and perhaps the left landing gear collapsed ( left as looking at the plane from straight on). wind is definitely a factor. so glad everyone got out!",0,0,0,0
