company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count,before_DEI,has_DEI,root_id,depth,sibling_count,time_since_root,cleaned_text,full_text,relevance,stance_dei_reviewer_01,purchase_intention_reviewer_01,stance_dei_reviewer_02,purchase_intention_reviewer_02,stance_dei_average,purchase_intention_average,stance_dei_label,purchase_intention_label
Costco,1/14/25 9:15,Y29tbWVudDoxMDIxMzAxNjkwMDI3OTk0XzU5MzE2MjYxNjY3NzI5MA==,Y29tbWVudDoxMDIxMzAxNjkwMDI3OTk0XzQ2NzYxNjg1ODI2MDc0MDM=,"this is an ignorant and false understanding of what DEI is and how it works. Signed, an employment attorney.",1/31/25,reply,4,0,1,Y29tbWVudDoxMDIxMzAxNjkwMDI3OTk0XzQ2NzYxNjg1ODI2MDc0MDM=,1,1,0 days,"this is an ignorant and false understanding of what dei is and how it works. signed, an employment attorney.","costco should get rid of there dei policy and have merit base promotions and hiring practices. best person for the job, regardless of race, color, creed or religion. → this is an ignorant and false understanding of what dei is and how it works. signed, an employment attorney.",1,1 (Pro-DEI),0 (Neutral/Unclear/No PI),-1 (Anti-DEI),0 (Neutral/Unclear/No PI),0,0,1,0
Delta,3/2/25 9:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzkyNTg0NjExNDA5MTM2MjE=,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE4MDA3NzY2Njc0MzI5OTc=,"I have this open, WhatsApp opened, checked my phone, my email. I have no idea what you are talking about\",3/8/25,reply,0,0,1,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzEzNjIzMzQ0MzgyODgwOTM=,3,2,0 days,"i have this open, whatsapp opened, checked my phone, my email. i have no idea what you are talking about\","i am not downloading an app so you can grab my personal data. anyways when i scan the qr code i get an error message. → we sincerely apologise for the inconvenience caused.i have already responded to your direct message. please check so we can continue our conversation there. -thank you → i have this open, whatsapp opened, checked my phone, my email. i have no idea what you are talking about\",0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Target,2/20/25 13:56,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzE3MDE4NTExMTczNTI2MTM=,,No longer shop there.,2/28/25,initial,0,0,0,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzE3MDE4NTExMTczNTI2MTM=,0,192,0 days,no longer shop there.,no longer shop there.,0,0 (Neutral/Unclear towards DEI),-1 (Boycott/Negative),0 (Neutral/Unclear towards DEI),-1 (Boycott/Negative),0,-1,0,-1
Google,2/28/25 13:39,Y29tbWVudDoxMTkzNjk0OTE1NDQ1Mjc0XzExODE0NTEwOTM1ODU4NTA=,,Good luck sukses selalu,3/6/25,initial,1,0,0,Y29tbWVudDoxMTkzNjk0OTE1NDQ1Mjc0XzExODE0NTEwOTM1ODU4NTA=,0,440,0 days,good luck sukses selalu,good luck sukses selalu,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Target,1/30/25 7:55,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzkyNDE3MjU0MzEzMjIxMw==,,Shame on you! You caved!,1/31/25,initial,4,0,0,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzkyNDE3MjU0MzEzMjIxMw==,0,138,0 days,shame on you! you caved!,shame on you! you caved!,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Google,2/6/25 7:26,Y29tbWVudDoxMTQ2MDY0MjQ2OTA1NTUxXzIwOTgwNjMyMjM5NjU5NTQ=,,"""
 Hi there! If you're looking for professional and eye-catching logo designs, follow me for creative ideas and top-notch services at competitive prices. 
 Don't miss out!""",2/6/25,initial,0,0,0,Y29tbWVudDoxMTQ2MDY0MjQ2OTA1NTUxXzIwOTgwNjMyMjM5NjU5NTQ=,0,114,0 days,""" hi there! if you're looking for professional and eye-catching logo designs, follow me for creative ideas and top-notch services at competitive prices. don't miss out!""",""" hi there! if you're looking for professional and eye-catching logo designs, follow me for creative ideas and top-notch services at competitive prices. don't miss out!""",0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Target,1/24/25 8:17,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzEzNjQ1Njg5OTQ1NjA5MzM=,,So disappointed.,1/31/25,initial,1,0,0,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzEzNjQ1Njg5OTQ1NjA5MzM=,0,488,0 days,so disappointed.,so disappointed.,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Costco,1/14/25 9:15,Y29tbWVudDoxMDIxMzAxNjkwMDI3OTk0XzExNzU5NTc0Mzc0NTE2MDA=,,Good!!!,1/31/25,initial,0,0,1,Y29tbWVudDoxMDIxMzAxNjkwMDI3OTk0XzExNzU5NTc0Mzc0NTE2MDA=,0,91,0 days,good!!!,good!!!,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Costco,1/22/25 13:45,Y29tbWVudDoxMDI3MjI4OTIyNzY4NjA0Xzk5NDg1MDk5MjY5MjUxNw==,Y29tbWVudDoxMDI3MjI4OTIyNzY4NjA0XzM5MTEyODQ0OTU4MTAxMzU=,"is there a point you’re attempting to make here, Matthew?",1/31/25,reply,0,0,1,Y29tbWVudDoxMDI3MjI4OTIyNzY4NjA0XzI1Nzg3MTUxMDIzMTU1MDI=,5,1,0 days,"is there a point youre attempting to make here, matthew?","did they reject your application john? → oh you didnt like your first response lol . costco will end their dei program or they will face the market consequences. megan, you are unhinged. i disparage the dumb ideas of people like you. i dont disparage people like your tribe does. id suggest taking some time to think through your worldview a little bit so that you can make it in this life. good luck to you megan. → is there a point youre attempting to make here, matthew?",1,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear towards DEI),0,0,0,0
Costco,1/13/25 11:00,Y29tbWVudDoxMDIwNjM1NjYzNDI3OTMwXzUzNDc2Mzg0NjI0MzU1OA==,Y29tbWVudDoxMDIwNjM1NjYzNDI3OTMwXzExMjcyOTM5MDIwMzQ1MTM=,try online because they come frozen.,1/24/25,reply,1,0,1,Y29tbWVudDoxMDIwNjM1NjYzNDI3OTMwXzEzNTY1OTc1NTU0OTgwNDk=,3,0,7 days,try online because they come frozen.,jennifer crossan check portuguese places they all have it. very popular pastry in portuguese communities. → i will definitely look but the only bakery that was close didn't have them. → try online because they come frozen.,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
